"LocalDateTime";"UTCOffset";"LF";"pH";"Sauerstoff";"Temperatur"
2014-10-01 01:00:00;2;827;7.42;5.98;16.78
2014-10-01 01:15:00;2;828;7.42;6;16.78
2014-10-01 01:30:00;2;827;7.42;6;16.78
2014-10-01 01:45:00;2;828;7.42;6.06;16.78
2014-10-01 02:00:00;2;827;7.42;5.99;16.79
2014-10-01 02:15:00;2;827;7.41;5.93;16.79
2014-10-01 02:30:00;2;828;7.42;6.01;16.78
2014-10-01 02:45:00;2;828;7.42;6.02;16.78
2014-10-01 03:00:00;2;827;7.42;5.95;16.78
2014-10-01 03:15:00;2;827;7.41;5.84;16.78
2014-10-01 03:30:00;2;828;7.41;5.96;16.78
2014-10-01 03:45:00;2;828;7.41;5.89;16.78
2014-10-01 04:00:00;2;828;7.42;5.81;16.78
2014-10-01 04:15:00;2;829;7.42;5.83;16.77
2014-10-01 04:30:00;2;829;7.42;5.87;16.77
2014-10-01 04:45:00;2;829;7.42;5.91;16.77
2014-10-01 05:00:00;2;829;7.42;6.01;16.76
2014-10-01 05:15:00;2;829;7.42;5.93;16.76
2014-10-01 05:30:00;2;830;7.42;5.92;16.75
2014-10-01 05:45:00;2;830;7.42;5.96;16.74
2014-10-01 06:00:00;2;831;7.42;6.08;16.74
2014-10-01 06:15:00;2;831;7.42;6.02;16.73
2014-10-01 06:30:00;2;832;7.42;6.14;16.73
2014-10-01 06:45:00;2;832;7.42;5.92;16.73
2014-10-01 07:00:00;2;833;7.42;6;16.73
2014-10-01 07:15:00;2;832;7.42;5.98;16.72
2014-10-01 07:30:00;2;833;7.43;6.18;16.72
2014-10-01 07:45:00;2;834;7.43;6.13;16.73
2014-10-01 08:00:00;2;834;7.42;5.92;16.73
2014-10-01 08:15:00;2;835;7.43;6.16;16.73
2014-10-01 08:30:00;2;834;7.44;6.19;16.73
2014-10-01 08:45:00;2;835;7.44;6.27;16.72
2014-10-01 09:00:00;2;835;7.44;6.25;16.73
2014-10-01 09:15:00;2;835;7.44;6.26;16.73
2014-10-01 09:30:00;2;834;7.43;6.07;16.73
2014-10-01 09:45:00;2;834;7.43;6.33;16.72
2014-10-01 10:00:00;2;834;7.41;6.47;16.73
2014-10-01 10:15:00;2;833;7.43;6.51;16.75
2014-10-01 10:30:00;2;833;7.45;6.6;16.76
2014-10-01 10:45:00;2;833;7.46;6.6;16.76
2014-10-01 11:00:00;2;832;7.45;6.5;16.77
2014-10-01 11:15:00;2;832;7.46;6.57;16.76
2014-10-01 11:30:00;2;833;7.46;6.43;16.77
2014-10-01 11:45:00;2;832;7.45;6.45;16.78
2014-10-01 12:00:00;2;831;7.46;6.49;16.81
2014-10-01 12:15:00;2;832;7.46;6.54;16.84
2014-10-01 12:30:00;2;832;7.46;6.54;16.84
2014-10-01 12:45:00;2;833;7.46;6.43;16.83
2014-10-01 13:00:00;2;833;7.44;6.24;16.84
2014-10-01 13:15:00;2;832;7.44;6.39;16.88
2014-10-01 13:30:00;2;832;7.45;6.36;16.91
2014-10-01 13:45:00;2;832;7.44;6.31;16.91
2014-10-01 14:00:00;2;831;7.44;6.25;16.93
2014-10-01 14:15:00;2;830;7.46;6.51;16.96
2014-10-01 14:30:00;2;830;7.47;6.54;17
2014-10-01 14:45:00;2;830;7.46;6.43;17
2014-10-01 15:00:00;2;831;7.46;6.43;17.01
2014-10-01 15:15:00;2;830;7.46;6.54;17.02
2014-10-01 15:30:00;2;831;7.46;6.34;17.02
2014-10-01 15:45:00;2;832;7.44;6.27;17
2014-10-01 16:00:00;2;832;7.44;6.13;16.98
2014-10-01 16:15:00;2;831;7.45;6.37;17.03
2014-10-01 16:30:00;2;830;7.47;6.5;17.07
2014-10-01 16:45:00;2;829;7.46;6.54;17.08
2014-10-01 17:00:00;2;829;7.46;6.37;17.08
2014-10-01 17:15:00;2;831;7.45;6.34;17.06
2014-10-01 17:30:00;2;831;7.45;6.28;17.06
2014-10-01 17:45:00;2;832;7.44;6.12;17.04
2014-10-01 18:00:00;2;832;7.45;6.42;17.04
2014-10-01 18:15:00;2;832;7.45;6.42;17.06
2014-10-01 18:30:00;2;832;7.45;6.31;17.04
2014-10-01 18:45:00;2;833;7.44;6.22;17.02
2014-10-01 19:00:00;2;833;7.44;6.28;17.02
2014-10-01 19:15:00;2;832;7.44;6.2;17.02
2014-10-01 19:30:00;2;831;7.43;6.13;17.03
2014-10-01 19:45:00;2;831;7.43;6.06;17.03
2014-10-01 20:00:00;2;830;7.42;6.01;17.04
2014-10-01 20:15:00;2;830;7.43;6.07;17.03
2014-10-01 20:30:00;2;830;7.43;6.13;17.02
2014-10-01 20:45:00;2;830;7.43;6.19;17.01
2014-10-01 21:00:00;2;829;7.43;6.19;17.02
2014-10-01 21:15:00;2;829;7.43;6.13;17.02
2014-10-01 21:30:00;2;829;7.43;5.94;17.01
2014-10-01 21:45:00;2;829;7.43;6.05;17
2014-10-01 22:00:00;2;830;7.43;6.14;16.99
2014-10-01 22:15:00;2;830;7.44;6.23;16.99
2014-10-01 22:30:00;2;829;7.43;6.06;17
2014-10-01 22:45:00;2;830;7.43;6.01;17
2014-10-01 23:00:00;2;829;7.43;6;17.01
2014-10-01 23:15:00;2;829;7.42;5.99;17.01
2014-10-01 23:30:00;2;829;7.42;5.94;17.01
2014-10-01 23:45:00;2;829;7.42;6.02;17.02
2014-10-02 00:00:00;2;829;7.41;5.72;17.02
2014-10-02 00:15:00;2;831;7.4;5.7;16.99
2014-10-02 00:30:00;2;830;7.41;5.82;16.99
2014-10-02 00:45:00;2;832;7.4;5.73;16.98
2014-10-02 01:00:00;2;833;7.39;5.67;16.95
2014-10-02 01:15:00;2;833;7.4;5.63;16.95
2014-10-02 01:30:00;2;832;7.4;5.85;16.96
2014-10-02 01:45:00;2;830;7.41;5.98;16.99
2014-10-02 02:00:00;2;829;7.41;5.96;17
2014-10-02 02:15:00;2;828;7.41;5.97;17
2014-10-02 02:30:00;2;828;7.41;5.99;17
2014-10-02 02:45:00;2;828;7.41;5.94;17
2014-10-02 03:00:00;2;828;7.41;5.94;16.99
2014-10-02 03:15:00;2;828;7.41;5.94;16.99
2014-10-02 03:30:00;2;828;7.41;5.92;16.99
2014-10-02 03:45:00;2;828;7.42;6.02;16.99
2014-10-02 04:00:00;2;827;7.42;5.99;17
2014-10-02 04:15:00;2;827;7.41;6;17
2014-10-02 04:30:00;2;827;7.42;6.11;16.99
2014-10-02 04:45:00;2;826;7.42;6;16.99
